Name,AVG,GP,PA,AB,R,H,2B,3B,HR,RBI,BB,K,HBP,SB,LOB,TB,OBP,OB,Walks,WalkPct,KPct,SLG
Dustin Wright,0.750,2,4,4,0,3,2,0,0,2,0,0,0,0,0,5,0.75,3,0,0.000,0.000,1.250
Tristan Simon,0.615,5,14,13,3,8,2,1,1,0,1,4,0,0,0,15,0.643,9,1,0.072,0.286,1.071
Nicholas Tsetsakos,0.500,2,4,4,0,2,1,0,0,1,0,1,0,0,0,3,0.5,2,0,0.000,0.250,0.750
Jamie Gunning,0.312,7,20,16,1,5,0,1,1,2,3,7,1,0,1,10,0.45,9,4,0.200,0.350,0.500
Damian Wright,0.500,2,4,4,0,2,0,0,0,1,0,2,0,0,0,2,0.5,2,0,0.000,0.500,0.500
Jacob Shanahan,0.437,7,18,16,3,7,0,0,0,2,2,7,0,0,1,7,0.5,9,2,0.111,0.389,0.389
Aydin Dossa,0.417,7,16,12,3,5,0,0,0,0,4,6,0,0,0,5,0.562,9,4,0.250,0.375,0.313
Ellis Chua,0.417,7,18,12,2,5,0,0,0,0,4,5,2,0,1,5,0.611,11,6,0.333,0.278,0.278
Nicholas Acquaviva,0.273,7,15,11,2,3,1,0,0,1,4,8,0,0,0,4,0.467,7,4,0.267,0.533,0.267
Lucas Pavlides,0.333,7,20,12,2,4,1,0,0,0,7,6,1,0,0,5,0.6,12,8,0.400,0.300,0.250
Calvin Timmins,0.231,7,17,13,2,3,0,0,0,1,4,5,0,0,0,3,0.412,7,4,0.236,0.294,0.176
Graydon Hummel,0.250,7,18,12,3,3,0,0,0,2,6,5,0,0,0,3,0.5,9,6,0.333,0.278,0.167
Logan Allison,0.091,6,13,11,0,1,0,0,0,0,2,6,0,0,0,1,0.231,3,2,0.154,0.462,0.077
Travis Maehler,0.000,4,9,5,0,0,0,0,0,0,4,5,0,0,0,0,0.444,4,4,0.444,0.556,0.000
,,,,,,,,,,,,,,,,,,,,,,
